datetime,depth,temp
1981-04-23T12:00:00Z,1,6.6
1981-04-23T12:00:00Z,2,6.6
1981-04-23T12:00:00Z,3,6.6
1981-04-23T12:00:00Z,4,6.6
1981-04-23T12:00:00Z,5,6.6
1981-04-23T12:00:00Z,6,6.7
1981-04-23T12:00:00Z,7,6.7
1981-04-23T12:00:00Z,8,6.6
1981-04-23T12:00:00Z,9,6.6
1981-04-23T12:00:00Z,10,6.6
1981-04-23T12:00:00Z,11,6.6
1981-04-23T12:00:00Z,12,6.6
1981-04-23T12:00:00Z,13,6.6
1981-04-23T12:00:00Z,14,6.6
1981-04-23T12:00:00Z,15,6.5
1981-04-23T12:00:00Z,16,6.2
1981-04-23T12:00:00Z,17,6
1981-05-06T12:00:00Z,0,9
1981-05-06T12:00:00Z,1,9
1981-05-06T12:00:00Z,2,8.8
1981-05-06T12:00:00Z,3,8.8
1981-05-06T12:00:00Z,4,8.7
1981-05-06T12:00:00Z,5,8.7
1981-05-06T12:00:00Z,6,8.6
1981-05-06T12:00:00Z,7,8.5
1981-05-06T12:00:00Z,8,8.2
1981-05-06T12:00:00Z,9,7.9
1981-05-06T12:00:00Z,10,7.4
1981-05-06T12:00:00Z,11,7
1981-05-06T12:00:00Z,12,6.9
1981-05-06T12:00:00Z,13,6.9
1981-05-06T12:00:00Z,14,6.7
1981-05-06T12:00:00Z,15,6.7
1981-05-06T12:00:00Z,16,6.6
1981-05-06T12:00:00Z,17,6.6
1981-05-06T12:00:00Z,18,6.6
1981-05-06T12:00:00Z,19,6.6
1981-05-06T12:00:00Z,19.5,NA
1981-05-20T12:00:00Z,0,12.9
1981-05-20T12:00:00Z,1,12.9
1981-05-20T12:00:00Z,2,12.8
1981-05-20T12:00:00Z,3,12.6
1981-05-20T12:00:00Z,4,12.3
1981-05-20T12:00:00Z,5,11.5
1981-05-20T12:00:00Z,6,10.7
1981-05-20T12:00:00Z,7,10.4
1981-05-20T12:00:00Z,8,10.1
1981-05-20T12:00:00Z,9,9.7
1981-05-20T12:00:00Z,10,9.3
1981-05-20T12:00:00Z,11,8.8
1981-05-20T12:00:00Z,12,8.2
1981-05-20T12:00:00Z,13,7.6
1981-05-20T12:00:00Z,14,7.5
1981-05-20T12:00:00Z,15,7.5
1981-05-20T12:00:00Z,16,7.4
1981-05-20T12:00:00Z,17,7.3
1981-05-20T12:00:00Z,18,7.3
1981-05-20T12:00:00Z,19,7.3
1981-05-20T12:00:00Z,20,7.3
1981-05-20T12:00:00Z,20.2,7.3
1981-06-04T12:00:00Z,0,17.2
1981-06-04T12:00:00Z,1,16.8
1981-06-04T12:00:00Z,2,16.7
1981-06-04T12:00:00Z,3,16.7
1981-06-04T12:00:00Z,4,16.3
1981-06-04T12:00:00Z,5,14.2
1981-06-04T12:00:00Z,6,13.1
1981-06-04T12:00:00Z,7,12.2
1981-06-04T12:00:00Z,8,11.7
1981-06-04T12:00:00Z,9,11.1
1981-06-04T12:00:00Z,10,10.5
1981-06-04T12:00:00Z,11,9.9
1981-06-04T12:00:00Z,12,9.5
1981-06-04T12:00:00Z,13,9
1981-06-04T12:00:00Z,14,8.6
1981-06-04T12:00:00Z,15,8.5
1981-06-04T12:00:00Z,16,8.4
1981-06-04T12:00:00Z,17,8.2
1981-06-04T12:00:00Z,18,8.1
1981-06-04T12:00:00Z,19,8
1981-06-16T12:00:00Z,0,18.8
1981-06-16T12:00:00Z,1,18.9
1981-06-16T12:00:00Z,2,18.9
1981-06-16T12:00:00Z,3,18.8
1981-06-16T12:00:00Z,4,18.8
1981-06-16T12:00:00Z,5,18.7
1981-06-16T12:00:00Z,6,15.1
1981-06-16T12:00:00Z,7,13.2
1981-06-16T12:00:00Z,8,12.7
1981-06-16T12:00:00Z,9,11.9
1981-06-16T12:00:00Z,10,11.1
1981-06-16T12:00:00Z,11,10.6
1981-06-16T12:00:00Z,12,10.3
1981-06-16T12:00:00Z,13,9.8
1981-06-16T12:00:00Z,14,9.4
1981-06-16T12:00:00Z,15,9
1981-06-16T12:00:00Z,16,8.9
1981-06-16T12:00:00Z,17,8.7
1981-06-16T12:00:00Z,18,8.5
1981-06-16T12:00:00Z,18.5,8.5
1981-07-01T12:00:00Z,0,20
1981-07-01T12:00:00Z,1,20
1981-07-01T12:00:00Z,2,19.9
1981-07-01T12:00:00Z,3,19.9
1981-07-01T12:00:00Z,4,19.8
1981-07-01T12:00:00Z,5,19.5
