datetime,depth,temp
1981-04-22T12:00:00Z,0.5,4.2
1981-04-22T12:00:00Z,1,4.2
1981-04-22T12:00:00Z,2,4.1
1981-04-22T12:00:00Z,3,4.1
1981-04-22T12:00:00Z,4,4.1
1981-04-22T12:00:00Z,5,4.1
1981-04-22T12:00:00Z,6,4.1
1981-04-22T12:00:00Z,7,4.1
1981-04-22T12:00:00Z,8,4.1
1981-04-22T12:00:00Z,9,4.1
1981-04-22T12:00:00Z,10,4.1
1981-04-22T12:00:00Z,11,4.1
1981-04-22T12:00:00Z,12,4.1
1981-04-22T12:00:00Z,13,4.1
1981-04-22T12:00:00Z,14,4.1
1981-04-22T12:00:00Z,16,4.1
1981-04-22T12:00:00Z,18,4.1
1981-04-22T12:00:00Z,20,4.1
1981-04-22T12:00:00Z,22,4.1
1981-04-22T12:00:00Z,24,4.1
1981-04-22T12:00:00Z,26,4.1
1981-04-22T12:00:00Z,27,4.1
1981-04-22T12:00:00Z,28,4.1
1981-04-22T12:00:00Z,30,4.1
1981-04-22T12:00:00Z,31,4.1
1981-04-22T12:00:00Z,32,4.1
1981-05-20T12:00:00Z,0,13.5
1981-05-20T12:00:00Z,1,13.1
1981-05-20T12:00:00Z,2,13
1981-05-20T12:00:00Z,3,12.5
1981-05-20T12:00:00Z,4,12
1981-05-20T12:00:00Z,5,11.5
1981-05-20T12:00:00Z,6,9.8
1981-05-20T12:00:00Z,7,8.8
1981-05-20T12:00:00Z,7.5,8.6
1981-05-20T12:00:00Z,8,8.3
1981-05-20T12:00:00Z,9,7.8
1981-05-20T12:00:00Z,10,7.3
1981-05-20T12:00:00Z,11,7
1981-05-20T12:00:00Z,12,6.9
1981-05-20T12:00:00Z,13,6.8
1981-05-20T12:00:00Z,14,6.7
1981-05-20T12:00:00Z,15,6.6
1981-05-20T12:00:00Z,16,6.4
1981-05-20T12:00:00Z,17,6.3
1981-05-20T12:00:00Z,18,6.3
1981-05-20T12:00:00Z,19,6.2
1981-05-20T12:00:00Z,20,6.1
1981-05-20T12:00:00Z,21,6.1
1981-05-20T12:00:00Z,22,6
