
"lakeid","depth","hp_factor"
"CR",0.00,0.0000
"CR",0.50,0.0470
"CR",1.00,0.0454
"CR",1.50,0.0454
"CR",2.00,0.0410
"CR",2.50,0.0411
"CR",3.00,0.0358
"CR",3.50,0.0358
"CR",4.00,0.0344
"CR",4.50,0.0345
"CR",5.00,0.0334
"CR",5.50,0.0334
"CR",6.00,0.0323
"CR",6.50,0.0324
"CR",7.00,0.0314
"CR",7.50,0.0315
"CR",8.00,0.0305
"CR",8.50,0.0305
"CR",9.00,0.0293
"CR",9.50,0.0293
"CR",10.00,0.0275
"CR",10.50,0.0276
"CR",11.00,0.0253
"CR",11.50,0.0253
"CR",12.00,0.0228
"CR",12.50,0.0228
"CR",13.00,0.0201
"CR",13.50,0.0201
"CR",14.00,0.0175
"CR",14.50,0.0175
"CR",15.00,0.0146
"CR",15.50,0.0147
"CR",16.00,0.0123
"CR",16.50,0.0123
"CR",17.00,0.0097
"CR",17.50,0.0098
"CR",18.00,0.0067
"CR",18.50,0.0068
"CR",19.00,0.0042
"CR",19.50,0.0042
"CR",20.00,0.0019
"CR",20.40,0.0019
"TR",0.00,0.0000
"TR",0.50,0.0285
"TR",1.00,0.0276
"TR",1.50,0.0276
"TR",2.00,0.0265
"TR",2.50,0.0266
"TR",3.00,0.0255
"TR",3.50,0.0255
"TR",4.00,0.0246
"TR",4.50,0.0246
"TR",5.00,0.0237
"TR",5.50,0.0238
"TR",6.00,0.0230
"TR",6.50,0.0230
"TR",7.00,0.0219
"TR",7.50,0.0219
"TR",8.00,0.0209
"TR",8.50,0.0210
"TR",9.00,0.0200
"TR",9.50,0.0200
"TR",10.00,0.0192
"TR",10.50,0.0193
"TR",11.00,0.0186
"TR",11.50,0.0186
"TR",12.00,0.0179
"TR",12.50,0.0179
"TR",13.00,0.0172
"TR",13.50,0.0172
"TR",14.00,0.0165
"TR",14.50,0.0166
"TR",15.00,0.0158
"TR",15.50,0.0159
"TR",16.00,0.0152
"TR",16.50,0.0152
"TR",17.00,0.0145
"TR",17.50,0.0146
"TR",18.00,0.0139
"TR",18.50,0.0140
"TR",19.00,0.0134
"TR",19.50,0.0134
"TR",20.00,0.0128
"TR",20.50,0.0129
"TR",21.00,0.0123
"TR",21.50,0.0123
"TR",22.00,0.0116
"TR",22.50,0.0116
"TR",23.00,0.0109
"TR",23.50,0.0109
"TR",24.00,0.0101
"TR",24.50,0.0101
"TR",25.00,0.0091
"TR",25.50,0.0092
"TR",26.00,0.0080
"TR",26.50,0.0080
"TR",27.00,0.0069
"TR",27.50,0.0070
"TR",28.00,0.0061
"TR",28.50,0.0062
"TR",29.00,0.0055
"TR",29.50,0.0055
"TR",30.00,0.0049
"TR",30.50,0.0050
"TR",31.00,0.0041
"TR",31.50,0.0042
"TR",32.00,0.0031
"TR",32.50,0.0031
"TR",33.00,0.0020
"TR",33.50,0.0021
"TR",34.00,0.0012
"TR",34.50,0.0012
"TR",35.00,0.0005
"TR",35.70,0.0005
