"year4","sampledate","month","daynum","tot_precip","avg_air_temp","max_air_temp","time_max_air_temp","min_air_temp","time_min_air_temp","avg_rel_hum","max_rel_hum","time_max_rel_hum","min_rel_hum","time_min_rel_hum","avg_vapor_pres","avg_vapor_pres_deficit","peak_wind_speed_5sec","time_peak_wind_speed_5s","avg_wind_speed","resultant_wind_speed","resultant_wind_direction","std_dev_wind_direction","avg_par","max_wind_speed_1min","time_max_wind_speed_1min","direction_peak_wind","avg_dewpoint_temp","max_dewpoint_temp","time_max_dewpoint_temp","min_dewpoint_temp","time_min_dewpoint_temp","avg_sol_rad","avg_longwave_rad","avg_shortwave_rad","min_battery","flag_tot_precip","flag_avg_air_temp","flag_max_air_temp","flag_time_max_air_temp","flag_min_air_temp","flag_time_min_air_temp","flag_avg_rel_hum","flag_max_rel_hum","flag_time_max_rel_hum","flag_min_rel_hum","flag_time_min_rel_hum","flag_avg_vapor_pres","flag_avg_vapor_pres_deficit","flag_peak_wind_speed_5sec","flag_time_peak_wind_speed_5s","flag_avg_wind_speed","flag_resultant_wind_speed","flag_resultant_wind_direction","flag_std_dev_wind_direction","flag_avg_par","flag_max_wind_speed_1min","flag_time_max_wind_speed_1min","flag_direction_peak_wind","flag_avg_dewpoint_temp","flag_max_dewpoint_temp","flag_time_max_dewpoint_temp","flag_min_dewpoint_temp","flag_time_min_dewpoint_temp","flag_avg_sol_rad","flag_avg_longwave_rad","flag_avg_shortwave_rad","flag_min_battery"
1989,"1989-01-01",1,1,0.000,-5.570,-2.904,1231,-10.590,2400,93.400,95.300,1702,87.900,2045,0.381,0.026,9.530,334,3.347,1.363,,,68.200,7.720,325,,-6.470,-3.801,1231,-12.130,2400,30.250,,,10.600,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-02",1,2,0.000,-16.950,-10.620,1,-23.770,1943,81.100,88.900,38,62.060,1521,0.136,0.032,7.020,318,2.003,0.920,,,146.900,5.536,341,,-19.490,-12.170,1,-25.710,1945,73.600,,,10.520,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-03",1,3,0.000,-14.470,-9.740,1244,-22.050,2157,85.300,90.500,937,76.700,1340,0.176,0.031,8.290,1310,1.973,1.610,,,96.400,6.547,1310,,-16.420,-11.280,1021,-23.900,2157,48.240,,,10.240,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-04",1,4,0.000,-13.200,-8.250,1517,-19.480,1,88.200,92.000,1148,76.100,1608,0.198,0.028,9.860,1333,2.642,2.439,,,68.910,7.980,1333,,-14.770,-10.800,1436,-21.230,1,30.900,,,10.520,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-05",1,5,0.254,-11.810,-0.608,1209,-20.930,715,84.600,96.200,2359,58.670,1218,0.225,0.049,4.619,1415,1.120,1.005,,,134.800,4.110,1436,,-13.970,-6.225,1138,-22.660,716,64.310,,,10.490,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-06",1,6,0.000,-5.351,-3.739,1459,-8.420,1,93.300,96.500,2346,89.100,1529,0.384,0.028,8.040,1404,2.957,2.870,,,54.680,6.172,1408,,-6.265,-4.912,2400,-8.920,1,24.030,,,10.350,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-07",1,7,0.000,-2.952,-1.382,1706,-6.797,2400,96.400,97.400,2235,94.900,1337,0.476,0.018,12.840,2338,3.464,3.187,,,33.630,10.380,2338,,-3.446,-1.811,1706,-7.420,2400,13.910,,,10.550,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-08",1,8,0.000,-15.590,-6.855,1,-17.920,2400,83.500,95.300,2,79.700,1248,0.155,0.030,14.330,10,4.537,0.971,,,94.600,10.630,48,,-17.750,-7.490,1,-20.150,2400,42.900,,,10.500,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-09",1,9,0.000,-18.840,-14.560,2400,-27.780,753,81.100,87.600,2358,71.900,1306,0.116,0.027,7.110,1240,2.082,1.373,,,138.900,5.700,1244,,-21.290,-16.170,2400,-30.410,753,88.100,,,9.880,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-10",1,10,0.000,-17.570,-13.160,615,-31.010,2400,81.200,90.300,544,66.990,1524,0.138,0.031,8.000,1201,1.828,0.691,,,159.300,5.806,1155,,-20.060,-14.420,611,-33.910,2400,83.300,,,10.350,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-11",1,11,0.000,-10.340,-1.205,2302,-31.100,3,87.400,96.000,2246,75.400,2,0.293,0.032,15.390,1015,5.143,1.474,,,67.310,11.390,1000,,-12.000,-1.767,2302,-34.040,3,30.370,,,10.340,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-12",1,12,0.000,-12.530,-2.838,1,-16.190,2255,78.900,94.600,1,67.440,1450,0.194,0.048,12.360,101,4.381,3.848,,,172.700,8.900,100,,-15.460,-3.588,1,-18.580,2248,85.700,,,10.450,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-13",1,13,0.000,-13.070,-3.007,1509,-27.420,747,71.000,85.600,254,49.040,1247,0.171,0.092,9.990,1446,2.887,1.114,,,177.900,7.150,1633,,-17.540,-10.810,2359,-29.900,747,98.400,,,10.370,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-14",1,14,0.000,-4.577,0.292,1414,-9.530,630,70.700,84.700,639,49.580,1415,0.306,0.141,14.630,1336,5.360,1.826,,,131.400,10.330,1351,,-9.290,-5.938,2313,-12.260,429,64.040,,,10.460,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-15",1,15,0.000,-4.630,-1.827,1149,-7.630,2240,70.400,93.800,2312,45.800,1541,0.304,0.132,16.090,245,3.134,2.305,,,171.400,10.550,245,,-9.470,-4.269,257,-13.930,1645,88.000,,,10.480,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-16",1,16,0.000,-6.736,-3.255,2222,-9.660,819,81.800,94.500,2134,65.180,1608,0.304,0.068,13.390,2310,3.891,1.620,,,95.100,8.500,1501,,-9.400,-4.254,2200,-11.660,819,45.640,,,10.470,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-17",1,17,0.000,-5.186,-3.538,141,-8.500,758,83.400,96.400,2315,71.300,1506,0.349,0.068,11.410,230,3.081,0.952,,,98.300,8.840,46,,-7.620,-4.180,2134,-10.850,755,45.580,,,10.200,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-18",1,18,0.000,-4.473,-2.876,1113,-6.546,2349,93.200,96.700,417,88.800,2012,0.411,0.029,9.880,1539,2.237,1.482,,,52.120,7.160,1539,,-5.405,-3.651,1113,-7.820,2349,22.970,,,10.470,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-19",1,19,0.000,-4.655,-1.414,1055,-6.801,2359,93.500,96.100,1925,89.600,1454,0.407,0.029,9.880,2027,3.669,0.384,,,54.240,8.340,617,,-5.545,-2.615,1132,-7.810,123,24.100,,,10.460,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-20",1,20,0.000,-12.180,-6.790,111,-20.850,2019,80.500,94.500,115,60.850,1443,0.201,0.049,10.540,522,3.047,2.491,,,176.000,8.250,751,,-14.960,-7.530,111,-22.380,2020,89.100,,,10.170,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-21",1,21,0.000,-5.385,0.564,1439,-13.230,41,66.710,76.400,1,51.010,1441,0.280,0.155,15.040,1311,5.098,5.076,,,192.600,10.110,1333,,-10.760,-5.466,2352,-16.660,37,95.800,,,10.190,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-22",1,22,5.588,-1.467,5.032,1344,-9.480,618,75.300,96.600,653,55.780,1512,0.410,0.158,8.150,1628,2.803,2.528,,,183.300,6.668,1628,,-5.475,-2.578,1346,-10.290,544,95.600,,,10.420,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-23",1,23,0.000,-2.942,2.956,1312,-10.880,720,91.300,97.300,515,76.700,1133,0.459,0.050,9.290,2359,2.324,2.147,,,127.300,7.320,2352,,-4.207,-0.619,1550,-11.360,720,65.270,,,10.100,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-24",1,24,0.000,-4.374,-2.588,7,-8.000,2325,69.980,89.200,2,47.330,1628,0.312,0.132,9.710,443,4.101,3.912,,,138.900,6.956,9,,-9.330,-4.139,1,-14.450,2049,65.900,,,10.430,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-25",1,25,0.000,-5.392,-4.174,1448,-7.860,40,84.100,96.700,2107,71.500,218,0.347,0.063,9.270,922,3.058,2.701,,,31.370,6.694,659,,-7.720,-5.088,2243,-11.510,219,13.070,,,10.180,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-26",1,26,0.000,-6.347,-3.472,1522,-9.190,2120,78.100,95.800,13,59.000,1539,0.299,0.085,10.710,2125,3.966,0.655,,,117.200,7.790,2022,,-9.660,-5.279,21,-13.460,1921,40.920,,,10.400,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-27",1,27,0.254,-4.435,4.745,1454,-15.870,737,76.500,94.400,602,57.110,1550,0.343,0.137,8.530,1832,2.602,1.684,,,220.900,7.290,1810,,-8.190,-2.901,1448,-16.820,737,114.900,,,10.370,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-28",1,28,0.254,-0.674,6.287,1448,-11.600,2400,65.220,90.800,2400,32.270,1606,0.372,0.237,8.930,1436,2.254,0.156,,,207.400,5.715,1410,,-7.040,-3.227,916,-12.800,2400,103.900,,,10.410,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-29",1,29,0.000,-6.035,1.846,1427,-15.400,533,74.800,95.100,156,50.190,1547,0.289,0.134,7.320,1359,2.116,1.236,,,151.400,5.894,1406,,-10.210,-5.868,1019,-16.320,533,76.900,,,10.140,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-30",1,30,0.000,-1.406,4.302,1511,-10.100,746,77.500,95.300,814,59.030,1512,0.428,0.146,9.870,2350,2.898,1.895,,,167.900,6.515,2357,,-5.006,-0.109,2358,-10.870,746,82.700,,,10.220,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-01-31",1,31,0.000,0.615,6.506,1244,-9.000,2356,85.400,95.600,2227,69.480,1247,0.555,0.112,9.620,1905,4.013,2.332,,,158.100,8.180,1905,,-1.648,1.379,1223,-9.700,2356,73.300,,,10.190,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-01",2,32,0.000,-14.590,-9.000,1,-18.700,2330,72.600,94.700,1,58.060,1456,0.151,0.052,12.800,524,4.356,3.748,,,165.000,9.360,544,,-18.480,-9.700,1,-23.340,1755,79.800,,,9.970,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-02",2,33,0.000,-17.670,-15.620,1423,-19.980,2131,82.700,84.700,1803,75.600,1,0.127,0.026,6.292,2341,2.545,2.233,,,97.300,5.179,1646,,-19.910,-17.700,1609,-22.350,434,43.330,,,10.280,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-03",2,34,0.000,-24.880,-19.410,1,-30.020,2358,67.150,82.900,4,54.110,1625,0.057,0.027,8.310,950,2.878,0.989,,,243.200,5.579,952,,-29.330,-21.600,1,-35.280,2400,132.200,,,10.120,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-04",2,35,0.000,-27.200,-19.970,1451,-33.680,739,59.570,64.820,2359,54.390,1545,0.042,0.030,7.920,1226,2.380,0.633,,,236.900,6.365,1226,,-32.740,-26.760,1448,-38.240,730,124.100,,,10.000,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-05",2,36,0.000,-22.770,-14.860,1348,-32.010,724,65.210,72.900,2400,57.790,1354,0.069,0.040,8.440,2127,2.468,1.157,,,213.600,6.423,2127,,-27.590,-21.210,1348,-35.710,710,114.500,,,10.020,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-06",2,37,0.000,-17.920,-11.720,1403,-25.010,722,69.930,80.500,2400,56.610,1402,0.106,0.051,7.070,1257,2.751,0.684,,,243.100,5.680,1329,,-22.190,-18.600,1403,-27.670,722,125.400,,,10.140,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-07",2,38,0.000,-13.310,-8.870,1347,-22.930,352,82.000,88.200,2205,71.300,1353,0.188,0.043,11.720,1326,3.511,3.105,,,136.800,8.160,1300,,-15.780,-11.580,2209,-25.070,352,65.770,,,10.170,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-08",2,39,0.000,-20.160,-10.330,1,-24.370,725,62.330,88.000,2,47.600,1638,0.082,0.047,15.290,1509,4.593,4.191,,,250.400,9.200,1509,,-25.650,-11.950,4,-29.710,2355,130.200,,,9.470,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-09",2,40,0.000,-17.590,-11.880,1339,-25.810,503,68.780,83.200,2400,53.330,1131,0.118,0.051,14.480,1238,4.113,1.444,,,155.800,10.100,1346,,-22.010,-14.690,2117,-30.110,132,75.400,,,10.070,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
