
"lakeid","sampledate","depth","rep","sta","wtemp","flagwtemp"
"CR","1981-04-23",1.00,1,1,6.60,
"CR","1981-04-23",2.00,1,1,6.60,
"CR","1981-04-23",3.00,1,1,6.60,
"CR","1981-04-23",4.00,1,1,6.60,
"CR","1981-04-23",5.00,1,1,6.60,
"CR","1981-04-23",6.00,1,1,6.70,
"CR","1981-04-23",7.00,1,1,6.70,
"CR","1981-04-23",8.00,1,1,6.60,
"CR","1981-04-23",9.00,1,1,6.60,
"CR","1981-04-23",10.00,1,1,6.60,
"CR","1981-04-23",11.00,1,1,6.60,
"CR","1981-04-23",12.00,1,1,6.60,
"CR","1981-04-23",13.00,1,1,6.60,
"CR","1981-04-23",14.00,1,1,6.60,
"CR","1981-04-23",15.00,1,1,6.50,
"CR","1981-04-23",16.00,1,1,6.20,
"CR","1981-04-23",17.00,1,1,6.00,
"CR","1981-05-06",0.00,1,1,9.00,
"CR","1981-05-06",1.00,1,1,9.00,
"CR","1981-05-06",2.00,1,1,8.80,
"CR","1981-05-06",3.00,1,1,8.80,
"CR","1981-05-06",4.00,1,1,8.70,
"CR","1981-05-06",5.00,1,1,8.70,
"CR","1981-05-06",6.00,1,1,8.60,
"CR","1981-05-06",7.00,1,1,8.50,
"CR","1981-05-06",8.00,1,1,8.20,
"CR","1981-05-06",9.00,1,1,7.90,
"CR","1981-05-06",10.00,1,1,7.40,
"CR","1981-05-06",11.00,1,1,7.00,
"CR","1981-05-06",12.00,1,1,6.90,
"CR","1981-05-06",13.00,1,1,6.90,
"CR","1981-05-06",14.00,1,1,6.70,
"CR","1981-05-06",15.00,1,1,6.70,
"CR","1981-05-06",16.00,1,1,6.60,
"CR","1981-05-06",17.00,1,1,6.60,
"CR","1981-05-06",18.00,1,1,6.60,
"CR","1981-05-06",19.00,1,1,6.60,
"CR","1981-05-06",19.50,1,1,,
"CR","1981-05-20",0.00,1,1,12.90,
"CR","1981-05-20",1.00,1,1,12.90,
"CR","1981-05-20",2.00,1,1,12.80,
"CR","1981-05-20",3.00,1,1,12.60,
"CR","1981-05-20",4.00,1,1,12.30,
"CR","1981-05-20",5.00,1,1,11.50,
"CR","1981-05-20",6.00,1,1,10.70,
"CR","1981-05-20",7.00,1,1,10.40,
"CR","1981-05-20",8.00,1,1,10.10,
"CR","1981-05-20",9.00,1,1,9.70,
"CR","1981-05-20",10.00,1,1,9.30,
"CR","1981-05-20",11.00,1,1,8.80,
"CR","1981-05-20",12.00,1,1,8.20,
"CR","1981-05-20",13.00,1,1,7.60,
"CR","1981-05-20",14.00,1,1,7.50,
"CR","1981-05-20",15.00,1,1,7.50,
"CR","1981-05-20",16.00,1,1,7.40,
"CR","1981-05-20",17.00,1,1,7.30,
"CR","1981-05-20",18.00,1,1,7.30,
"CR","1981-05-20",19.00,1,1,7.30,
"CR","1981-05-20",20.00,1,1,7.30,
"CR","1981-05-20",20.20,1,1,7.30,
"CR","1981-06-04",0.00,1,1,17.20,
"CR","1981-06-04",1.00,1,1,16.80,
"CR","1981-06-04",2.00,1,1,16.70,
"CR","1981-06-04",3.00,1,1,16.70,
"CR","1981-06-04",4.00,1,1,16.30,
"CR","1981-06-04",5.00,1,1,14.20,
"CR","1981-06-04",6.00,1,1,13.10,
"CR","1981-06-04",7.00,1,1,12.20,
"CR","1981-06-04",8.00,1,1,11.70,
"CR","1981-06-04",9.00,1,1,11.10,
"CR","1981-06-04",10.00,1,1,10.50,
"CR","1981-06-04",11.00,1,1,9.90,
"CR","1981-06-04",12.00,1,1,9.50,
"CR","1981-06-04",13.00,1,1,9.00,
"CR","1981-06-04",14.00,1,1,8.60,
"CR","1981-06-04",15.00,1,1,8.50,
"CR","1981-06-04",16.00,1,1,8.40,
"CR","1981-06-04",17.00,1,1,8.20,
"CR","1981-06-04",18.00,1,1,8.10,
"CR","1981-06-04",19.00,1,1,8.00,
"CR","1981-06-16",0.00,1,1,18.80,
"CR","1981-06-16",1.00,1,1,18.90,
"CR","1981-06-16",2.00,1,1,18.90,
"CR","1981-06-16",3.00,1,1,18.80,
"CR","1981-06-16",4.00,1,1,18.80,
"CR","1981-06-16",5.00,1,1,18.70,
"CR","1981-06-16",6.00,1,1,15.10,
"CR","1981-06-16",7.00,1,1,13.20,
"CR","1981-06-16",8.00,1,1,12.70,
"CR","1981-06-16",9.00,1,1,11.90,
"CR","1981-06-16",10.00,1,1,11.10,
"CR","1981-06-16",11.00,1,1,10.60,
"CR","1981-06-16",12.00,1,1,10.30,
"CR","1981-06-16",13.00,1,1,9.80,
"CR","1981-06-16",14.00,1,1,9.40,
"CR","1981-06-16",15.00,1,1,9.00,
"CR","1981-06-16",16.00,1,1,8.90,
"CR","1981-06-16",17.00,1,1,8.70,
"CR","1981-06-16",18.00,1,1,8.50,
"CR","1981-06-16",18.50,1,1,8.50,
"CR","1981-07-01",0.00,1,1,20.00,
"CR","1981-07-01",1.00,1,1,20.00,
"CR","1981-07-01",2.00,1,1,19.90,
"CR","1981-07-01",3.00,1,1,19.90,
"CR","1981-07-01",4.00,1,1,19.80,
"CR","1981-07-01",5.00,1,1,19.50,
"CR","1981-07-01",6.00,1,1,18.70,
"CR","1981-07-01",7.00,1,1,16.80,
"CR","1981-07-01",8.00,1,1,14.50,
"CR","1981-07-01",9.00,1,1,13.30,
"CR","1981-07-01",10.00,1,1,12.50,
"CR","1981-07-01",11.00,1,1,11.80,
"CR","1981-07-01",12.00,1,1,11.10,
"CR","1981-07-01",13.00,1,1,10.50,
"CR","1981-07-01",14.00,1,1,10.50,
"CR","1981-07-01",15.00,1,1,9.70,
"CR","1981-07-01",16.00,1,1,9.50,
"CR","1981-07-01",17.00,1,1,9.40,
"CR","1981-07-01",18.00,1,1,9.30,
"CR","1981-07-01",19.00,1,1,9.30,
"CR","1981-07-01",20.00,1,1,,
"CR","1981-07-14",0.00,1,1,23.60,
"CR","1981-07-14",1.00,1,1,23.70,
"CR","1981-07-14",2.00,1,1,23.70,
"CR","1981-07-14",3.00,1,1,23.70,
"CR","1981-07-14",4.00,1,1,23.60,
"CR","1981-07-14",5.00,1,1,22.00,
"CR","1981-07-14",6.00,1,1,20.70,
"CR","1981-07-14",7.00,1,1,18.20,
"CR","1981-07-14",8.00,1,1,16.20,
